N	rep	n_lines	threshold	chromosome
25543	1	2	0.05	2L
32805	1	2	0.05	2R
27299	1	2	0.05	3L
19009	1	2	0.05	3R
16585	1	2	0.05	X
28516	1	2	0.125	2L
32856	1	2	0.125	2R
20917	1	2	0.125	3L
26231	1	2	0.125	3R
15625	1	2	0.125	X
31655	1	2	0.25	2L
19169	1	2	0.25	2R
20802	1	2	0.25	3L
24371	1	2	0.25	3R
23205	1	2	0.25	X
91309	1	4	0.05	2L
57989	1	4	0.05	2R
71626	1	4	0.05	3L
64726	1	4	0.05	3R
33718	1	4	0.05	X
63752	1	4	0.125	2L
75399	1	4	0.125	2R
65032	1	4	0.125	3L
81100	1	4	0.125	3R
45329	1	4	0.125	X
64248	1	4	0.25	2L
63635	1	4	0.25	2R
71837	1	4	0.25	3L
56212	1	4	0.25	3R
59646	1	4	0.25	X
128694	1	8	0.05	2L
106868	1	8	0.05	2R
154934	1	8	0.05	3L
101133	1	8	0.05	3R
108734	1	8	0.05	X
172477	1	8	0.125	2L
93012	1	8	0.125	2R
118969	1	8	0.125	3L
157739	1	8	0.125	3R
66584	1	8	0.125	X
45395	1	8	0.25	2L
31917	1	8	0.25	2R
47624	1	8	0.25	3L
32329	1	8	0.25	3R
41221	1	8	0.25	X
194215	1	16	0.05	2L
169589	1	16	0.05	2R
244359	1	16	0.05	3L
189267	1	16	0.05	3R
141796	1	16	0.05	X
91017	1	16	0.125	2L
74013	1	16	0.125	2R
112276	1	16	0.125	3L
93340	1	16	0.125	3R
75183	1	16	0.125	X
37993	1	16	0.25	2L
32694	1	16	0.25	2R
49688	1	16	0.25	3L
37210	1	16	0.25	3R
22800	1	16	0.25	X
255224	1	32	0.05	2L
196099	1	32	0.05	2R
195521	1	32	0.05	3L
154578	1	32	0.05	3R
140252	1	32	0.05	X
74823	1	32	0.125	2L
68686	1	32	0.125	2R
82590	1	32	0.125	3L
63630	1	32	0.125	3R
57466	1	32	0.125	X
28393	1	32	0.25	2L
28917	1	32	0.25	2R
34920	1	32	0.25	3L
24976	1	32	0.25	3R
22845	1	32	0.25	X
210472	1	64	0.05	2L
153922	1	64	0.05	2R
219126	1	64	0.05	3L
174735	1	64	0.05	3R
118180	1	64	0.05	X
71444	1	64	0.125	2L
69039	1	64	0.125	2R
76235	1	64	0.125	3L
54967	1	64	0.125	3R
51227	1	64	0.125	X
28672	1	64	0.25	2L
23560	1	64	0.25	2R
31456	1	64	0.25	3L
20729	1	64	0.25	3R
22763	1	64	0.25	X
194875	1	128	0.05	2L
166937	1	128	0.05	2R
205082	1	128	0.05	3L
167898	1	128	0.05	3R
124191	1	128	0.05	X
71566	1	128	0.125	2L
61197	1	128	0.125	2R
80733	1	128	0.125	3L
57640	1	128	0.125	3R
51291	1	128	0.125	X
27298	1	128	0.25	2L
23142	1	128	0.25	2R
29981	1	128	0.25	3L
20246	1	128	0.25	3R
20734	1	128	0.25	X
19067	10	2	0.05	2L
17278	10	2	0.05	2R
35036	10	2	0.05	3L
19012	10	2	0.05	3R
18146	10	2	0.05	X
71675	10	2	0.125	2L
21490	10	2	0.125	2R
27291	10	2	0.125	3L
22722	10	2	0.125	3R
12740	10	2	0.125	X
38624	10	2	0.25	2L
16823	10	2	0.25	2R
49468	10	2	0.25	3L
37369	10	2	0.25	3R
16043	10	2	0.25	X
61083	10	4	0.05	2L
75766	10	4	0.05	2R
106719	10	4	0.05	3L
67961	10	4	0.05	3R
54912	10	4	0.05	X
79959	10	4	0.125	2L
75358	10	4	0.125	2R
67983	10	4	0.125	3L
60272	10	4	0.125	3R
40141	10	4	0.125	X
57608	10	4	0.25	2L
62884	10	4	0.25	2R
88743	10	4	0.25	3L
54515	10	4	0.25	3R
70901	10	4	0.25	X
150170	10	8	0.05	2L
100569	10	8	0.05	2R
154784	10	8	0.05	3L
118972	10	8	0.05	3R
91264	10	8	0.05	X
179954	10	8	0.125	2L
95983	10	8	0.125	2R
138065	10	8	0.125	3L
137129	10	8	0.125	3R
98635	10	8	0.125	X
53102	10	8	0.25	2L
31608	10	8	0.25	2R
52728	10	8	0.25	3L
30205	10	8	0.25	3R
34503	10	8	0.25	X
238633	10	16	0.05	2L
207427	10	16	0.05	2R
229053	10	16	0.05	3L
192621	10	16	0.05	3R
144612	10	16	0.05	X
83392	10	16	0.125	2L
78845	10	16	0.125	2R
102620	10	16	0.125	3L
85217	10	16	0.125	3R
79864	10	16	0.125	X
32684	10	16	0.25	2L
33561	10	16	0.25	2R
36445	10	16	0.25	3L
27483	10	16	0.25	3R
24180	10	16	0.25	X
188419	10	32	0.05	2L
152230	10	32	0.05	2R
197340	10	32	0.05	3L
158156	10	32	0.05	3R
134542	10	32	0.05	X
78248	10	32	0.125	2L
67890	10	32	0.125	2R
100717	10	32	0.125	3L
60178	10	32	0.125	3R
64522	10	32	0.125	X
35047	10	32	0.25	2L
30930	10	32	0.25	2R
33186	10	32	0.25	3L
26263	10	32	0.25	3R
21702	10	32	0.25	X
189119	10	64	0.05	2L
148555	10	64	0.05	2R
207631	10	64	0.05	3L
168036	10	64	0.05	3R
126147	10	64	0.05	X
81558	10	64	0.125	2L
71132	10	64	0.125	2R
85575	10	64	0.125	3L
61736	10	64	0.125	3R
55612	10	64	0.125	X
31127	10	64	0.25	2L
23551	10	64	0.25	2R
30228	10	64	0.25	3L
21499	10	64	0.25	3R
23067	10	64	0.25	X
193133	10	128	0.05	2L
167732	10	128	0.05	2R
205264	10	128	0.05	3L
167998	10	128	0.05	3R
124630	10	128	0.05	X
71713	10	128	0.125	2L
61531	10	128	0.125	2R
80455	10	128	0.125	3L
56998	10	128	0.125	3R
50899	10	128	0.125	X
27295	10	128	0.25	2L
22976	10	128	0.25	2R
30032	10	128	0.25	3L
20112	10	128	0.25	3R
20954	10	128	0.25	X
27337	11	2	0.05	2L
17764	11	2	0.05	2R
14849	11	2	0.05	3L
18184	11	2	0.05	3R
15244	11	2	0.05	X
28018	11	2	0.125	2L
21164	11	2	0.125	2R
40915	11	2	0.125	3L
28443	11	2	0.125	3R
30472	11	2	0.125	X
33984	11	2	0.25	2L
15852	11	2	0.25	2R
28047	11	2	0.25	3L
16405	11	2	0.25	3R
38420	11	2	0.25	X
101252	11	4	0.05	2L
76740	11	4	0.05	2R
62674	11	4	0.05	3L
46516	11	4	0.05	3R
68091	11	4	0.05	X
135134	11	4	0.125	2L
59482	11	4	0.125	2R
45706	11	4	0.125	3L
81327	11	4	0.125	3R
51356	11	4	0.125	X
44703	11	4	0.25	2L
57292	11	4	0.25	2R
42813	11	4	0.25	3L
55444	11	4	0.25	3R
54047	11	4	0.25	X
130085	11	8	0.05	2L
85387	11	8	0.05	2R
147754	11	8	0.05	3L
125061	11	8	0.05	3R
79046	11	8	0.05	X
141586	11	8	0.125	2L
125776	11	8	0.125	2R
125999	11	8	0.125	3L
119571	11	8	0.125	3R
76571	11	8	0.125	X
65036	11	8	0.25	2L
29004	11	8	0.25	2R
50827	11	8	0.25	3L
43755	11	8	0.25	3R
23987	11	8	0.25	X
202136	11	16	0.05	2L
165914	11	16	0.05	2R
180713	11	16	0.05	3L
187334	11	16	0.05	3R
123154	11	16	0.05	X
100434	11	16	0.125	2L
66980	11	16	0.125	2R
118619	11	16	0.125	3L
78907	11	16	0.125	3R
64406	11	16	0.125	X
39970	11	16	0.25	2L
30708	11	16	0.25	2R
39573	11	16	0.25	3L
37353	11	16	0.25	3R
24035	11	16	0.25	X
190877	11	32	0.05	2L
156071	11	32	0.05	2R
200431	11	32	0.05	3L
164910	11	32	0.05	3R
125873	11	32	0.05	X
85330	11	32	0.125	2L
85061	11	32	0.125	2R
85804	11	32	0.125	3L
80005	11	32	0.125	3R
56549	11	32	0.125	X
29475	11	32	0.25	2L
29577	11	32	0.25	2R
38524	11	32	0.25	3L
21443	11	32	0.25	3R
25889	11	32	0.25	X
214667	11	64	0.05	2L
156143	11	64	0.05	2R
202358	11	64	0.05	3L
167942	11	64	0.05	3R
124311	11	64	0.05	X
80344	11	64	0.125	2L
65727	11	64	0.125	2R
90412	11	64	0.125	3L
57397	11	64	0.125	3R
55430	11	64	0.125	X
31539	11	64	0.25	2L
25052	11	64	0.25	2R
32017	11	64	0.25	3L
24105	11	64	0.25	3R
21162	11	64	0.25	X
193354	11	128	0.05	2L
167109	11	128	0.05	2R
205276	11	128	0.05	3L
168040	11	128	0.05	3R
123824	11	128	0.05	X
71729	11	128	0.125	2L
61415	11	128	0.125	2R
80571	11	128	0.125	3L
57569	11	128	0.125	3R
50729	11	128	0.125	X
27306	11	128	0.25	2L
23151	11	128	0.25	2R
29970	11	128	0.25	3L
20195	11	128	0.25	3R
20730	11	128	0.25	X
39451	12	2	0.05	2L
24310	12	2	0.05	2R
55291	12	2	0.05	3L
21402	12	2	0.05	3R
8094	12	2	0.05	X
41165	12	2	0.125	2L
26266	12	2	0.125	2R
26647	12	2	0.125	3L
35871	12	2	0.125	3R
19827	12	2	0.125	X
18498	12	2	0.25	2L
31635	12	2	0.25	2R
30122	12	2	0.25	3L
36601	12	2	0.25	3R
16970	12	2	0.25	X
88234	12	4	0.05	2L
51167	12	4	0.05	2R
60686	12	4	0.05	3L
87167	12	4	0.05	3R
76371	12	4	0.05	X
71350	12	4	0.125	2L
49007	12	4	0.125	2R
65489	12	4	0.125	3L
53232	12	4	0.125	3R
31739	12	4	0.125	X
82789	12	4	0.25	2L
64657	12	4	0.25	2R
76765	12	4	0.25	3L
47073	12	4	0.25	3R
60839	12	4	0.25	X
156462	12	8	0.05	2L
98372	12	8	0.05	2R
149205	12	8	0.05	3L
133658	12	8	0.05	3R
69134	12	8	0.05	X
147652	12	8	0.125	2L
130192	12	8	0.125	2R
129366	12	8	0.125	3L
111936	12	8	0.125	3R
104049	12	8	0.125	X
40179	12	8	0.25	2L
46522	12	8	0.25	2R
41036	12	8	0.25	3L
45308	12	8	0.25	3R
30849	12	8	0.25	X
179328	12	16	0.05	2L
264538	12	16	0.05	2R
211874	12	16	0.05	3L
215880	12	16	0.05	3R
130516	12	16	0.05	X
106017	12	16	0.125	2L
82711	12	16	0.125	2R
113686	12	16	0.125	3L
70704	12	16	0.125	3R
73695	12	16	0.125	X
35670	12	16	0.25	2L
32292	12	16	0.25	2R
49680	12	16	0.25	3L
27674	12	16	0.25	3R
26257	12	16	0.25	X
215445	12	32	0.05	2L
144507	12	32	0.05	2R
232400	12	32	0.05	3L
157740	12	32	0.05	3R
120619	12	32	0.05	X
81421	12	32	0.125	2L
75214	12	32	0.125	2R
85550	12	32	0.125	3L
65326	12	32	0.125	3R
51869	12	32	0.125	X
29678	12	32	0.25	2L
30464	12	32	0.25	2R
31177	12	32	0.25	3L
25354	12	32	0.25	3R
19626	12	32	0.25	X
196835	12	64	0.05	2L
150314	12	64	0.05	2R
196919	12	64	0.05	3L
161997	12	64	0.05	3R
121265	12	64	0.05	X
79886	12	64	0.125	2L
63583	12	64	0.125	2R
77936	12	64	0.125	3L
64924	12	64	0.125	3R
51541	12	64	0.125	X
30941	12	64	0.25	2L
23493	12	64	0.25	2R
28997	12	64	0.25	3L
22550	12	64	0.25	3R
23225	12	64	0.25	X
193805	12	128	0.05	2L
166696	12	128	0.05	2R
205518	12	128	0.05	3L
167949	12	128	0.05	3R
123712	12	128	0.05	X
71817	12	128	0.125	2L
61312	12	128	0.125	2R
80673	12	128	0.125	3L
57518	12	128	0.125	3R
50673	12	128	0.125	X
27290	12	128	0.25	2L
23090	12	128	0.25	2R
29619	12	128	0.25	3L
20302	12	128	0.25	3R
20883	12	128	0.25	X
22655	13	2	0.05	2L
22187	13	2	0.05	2R
25784	13	2	0.05	3L
